 1,      128,      16.84
 1,     1024,      42.86
 1,     2048,      51.55
 1,     4096,      52.58
 1,     8192,      93.84
 1,    16384,      61.30
 1,    32768,      66.84
 1,    65536,     102.31
 2,      128,      18.32
 2,     1024,      76.71
 2,     2048,      83.51
 2,     4096,      94.49
 2,     8192,     104.24
 2,    16384,     111.53
 2,    32768,     122.22
 2,    65536,     134.05
 4,      128,      19.28
 4,     1024,      95.47
 4,     2048,     122.05
 4,     4096,     160.07
 4,     8192,     189.58
 4,    16384,     209.59
 4,    32768,     218.50
 4,    65536,     236.90
 8,      128,      13.52
 8,     1024,      84.39
 8,     2048,     145.97
 8,     4096,     217.62
 8,     8192,     301.98
 8,    16384,     332.06
 8,    32768,     401.40
 8,    65536,     430.73
12,      128,      10.45
12,     1024,      70.14
12,     2048,     125.64
12,     4096,     206.63
12,     8192,     336.83
12,    16384,     419.53
12,    32768,     522.32
12,    65536,     601.16
16,      128,       7.51
16,     1024,      55.65
16,     2048,     106.14
16,     4096,     174.21
16,     8192,     272.95
16,    16384,     345.78
16,    32768,     413.12
16,    65536,     608.70
20,      128,       6.61
20,     1024,      50.44
20,     2048,      86.09
20,     4096,     183.05
20,     8192,     264.67
20,    16384,     322.99
20,    32768,     464.23
20,    65536,     536.21
24,      128,       4.72
24,     1024,      47.13
24,     2048,      88.16
24,     4096,     155.74
24,     8192,     236.37
24,    16384,     345.85
24,    32768,     512.60
24,    65536,     595.31
32,      128,       0.16
32,     1024,       7.61
32,     2048,       7.42
32,     4096,       6.96
32,     8192,      41.66
32,    16384,      14.46
32,    32768,      54.20
32,    65536,      95.31
